the,1873788
to,891377
of,810531
a,767762
and,757945
in,649374
that,452533
for,300547
is,295052
on,292685
he,256274
it,252612
was,226418
with,211355
said,208127
as,195349
i,173534
his,167456
at,161123
have,150406
trump,149940
not,143710
by,143379
from,140589
be,139662
has,137076
are,135932
they,128097
but,127826
an,126449
this,125142
â€”,121300
who,119657
we,119006
you,106158
about,92444
she,90513
had,90018
mr,86544
their,85521
will,82907
or,82320
her,80387
were,79170
people,77793
one,76797
been,76130
would,75119
more,74599
there,67432
what,67095
when,65683
which,64226
new,63049
can,61686
if,61261
out,61203
after,61096
president,61057
all,61049
also,57466
up,53795
so,53769
its,53398
clinton,53347
like,51320
than,50238
him,49489
no,48733
our,46455
some,46441
other,45527
just,45404
over,44303
into,44068
do,43402
them,42909
state,42561
time,42288
first,39638
because,39092
could,38965
two,38763
now,38307
us,37779
news,37083
years,35621
told,35107
how,34927
last,34863
many,34666
my,34385
states,33625
most,33575
even,33450
obama,32604
those,32334
year,32015
campaign,31781
only,31768
